name,latitude,longitude,threshold,event_date,geps_init_date,lead_time_days,event_flag,amd_tmp_min,percentile
Date,42.493500,140.866200,-1.0,2025-05-06,2025-04-21,15,0,4.30,0.0
Date,42.493500,140.866200,-1.0,2025-05-07,2025-04-21,16,0,4.00,0.0
Date,42.493500,140.866200,3.0,2025-04-21,2025-04-21,0,0,4.50,0.0
Date,42.493500,140.866200,3.0,2025-04-22,2025-04-21,1,0,3.20,5.3
Date,42.493500,140.866200,3.0,2025-04-23,2025-04-21,2,0,5.70,0.0
Date,42.493500,140.866200,3.0,2025-04-24,2025-04-21,3,0,8.00,0.0
Date,42.493500,140.866200,3.0,2025-04-25,2025-04-21,4,0,4.70,0.0
Date,42.493500,140.866200,3.0,2025-04-26,2025-04-21,5,1,1.20,0.0
Date,42.493500,140.866200,3.0,2025-04-27,2025-04-21,6,0,3.60,0.5
Date,42.493500,140.866200,3.0,2025-04-28,2025-04-21,7,1,0.90,0.0
Date,42.493500,140.866200,3.0,2025-04-29,2025-04-21,8,0,5.20,1.4
Date,42.493500,140.866200,3.0,2025-04-30,2025-04-21,9,1,2.40,1.4
Date,42.493500,140.866200,3.0,2025-05-01,2025-04-21,10,1,0.30,0.0
Date,42.493500,140.866200,3.0,2025-05-02,2025-04-21,11,0,9.20,1.2
Date,42.493500,140.866200,3.0,2025-05-03,2025-04-21,12,0,8.50,0.6
Date,42.493500,140.866200,3.0,2025-05-04,2025-04-21,13,0,5.60,0.6
Date,42.493500,140.866200,3.0,2025-05-05,2025-04-21,14,0,6.90,0.1
Date,42.493500,140.866200,3.0,2025-05-06,2025-04-21,15,0,4.30,0.1
Date,42.493500,140.866200,3.0,2025-05-07,2025-04-21,16,0,4.00,0.1
Kitami,43.770900,143.820100,-1.0,2025-04-21,2025-04-21,0,0,0.60,0.0
Kitami,43.770900,143.820100,-1.0,2025-04-22,2025-04-21,1,0,0.80,0.0
Kitami,43.770900,143.820100,-1.0,2025-04-23,2025-04-21,2,0,2.10,0.0
Kitami,43.770900,143.820100,-1.0,2025-04-24,2025-04-21,3,0,-0.90,0.8
Kitami,43.770900,143.820100,-1.0,2025-04-25,2025-04-21,4,0,3.40,0.1
Kitami,43.770900,143.820100,-1.0,2025-04-26,2025-04-21,5,0,-0.70,0.1
Kitami,43.770900,143.820100,-1.0,2025-04-27,2025-04-21,6,1,-1.30,0.5
Kitami,43.770900,143.820100,-1.0,2025-04-28,2025-04-21,7,0,-0.30,5.5
Kitami,43.770900,143.820100,-1.0,2025-04-29,2025-04-21,8,0,-0.20,1.8
Kitami,43.770900,143.820100,-1.0,2025-04-30,2025-04-21,9,0,-0.20,1.8
Kitami,43.770900,143.820100,-1.0,2025-05-01,2025-04-21,10,0,-0.30,2.6
Kitami,43.770900,143.820100,-1.0,2025-05-02,2025-04-21,11,0,2.20,0.5
Kitami,43.770900,143.820100,-1.0,2025-05-03,2025-04-21,12,0,7.90,1.0
Kitami,43.770900,143.820100,-1.0,2025-05-04,2025-04-21,13,0,3.50,1.4
Kitami,43.770900,143.820100,-1.0,2025-05-05,2025-04-21,14,0,2.70,0.7
Kitami,43.770900,143.820100,-1.0,2025-05-06,2025-04-21,15,0,1.40,0.4
Kitami,43.770900,143.820100,-1.0,2025-05-07,2025-04-21,16,0,1.10,0.6
Kitami,43.770900,143.820100,3.0,2025-04-21,2025-04-21,0,1,0.60,50.0
Kitami,43.770900,143.820100,3.0,2025-04-22,2025-04-21,1,1,0.80,100.0
Kitami,43.770900,143.820100,3.0,2025-04-23,2025-04-21,2,1,2.10,20.4
Kitami,43.770900,143.820100,3.0,2025-04-24,2025-04-21,3,1,-0.90,0.9
Kitami,43.770900,143.820100,3.0,2025-04-25,2025-04-21,4,0,3.40,28.3
Kitami,43.770900,143.820100,3.0,2025-04-26,2025-04-21,5,1,-0.70,0.2
Kitami,43.770900,143.820100,3.0,2025-04-27,2025-04-21,6,1,-1.30,0.5
Kitami,43.770900,143.820100,3.0,2025-04-28,2025-04-21,7,1,-0.30,11.9
Kitami,43.770900,143.820100,3.0,2025-04-29,2025-04-21,8,1,-0.20,4.2
Kitami,43.770900,143.820100,3.0,2025-04-30,2025-04-21,9,1,-0.20,3.8
Kitami,43.770900,143.820100,3.0,2025-05-01,2025-04-21,10,1,-0.30,4.2
Kitami,43.770900,143.820100,3.0,2025-05-02,2025-04-21,11,1,2.20,9.0
